species,gridlat,gridlon,d18oc,d18osw,t_annual,t_seasonal,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
G. bulloides,-2.5,99.5,-3.0225,0.1450017113238573,28.978235244750977,28.586669921875,0,1,1,0,0,0,0,1,1,1,1,1
G. bulloides,-1.5,97.5,-2.95,0.18872575461864471,29.053556442260742,28.794862747192383,1,1,1,0,0,0,0,1,1,1,1,1
G. bulloides,-0.5,98.5,-3.215,0.16478751599788666,29.263351440429688,28.808238983154297,0,0,0,0,0,0,0,1,1,1,1,1
G. bulloides,-0.5,99.5,-3.1290000000000004,0.1538834974169731,29.55580711364746,28.929325103759766,0,0,0,0,0,0,0,1,1,1,0,1
G. bulloides,0.5,98.5,-3.0825,0.1655896008014679,29.288766860961914,28.887447357177734,0,0,0,0,0,0,0,1,1,1,0,1
G. bulloides,1.5,96.5,-3.0400000000000005,0.20435620844364166,29.0150089263916,28.73956871032715,1,1,1,0,0,0,0,1,1,1,1,1
G. bulloides,1.5,98.5,-3.03,0.18497290462255478,29.107460021972656,28.91326332092285,1,1,1,0,0,0,1,1,1,1,0,1
G. bulloides,3.5,96.5,-3.036363636363636,0.19525547325611115,29.43959617614746,28.99669647216797,0,0,0,0,0,0,0,1,1,0,1,0
G. bulloides,10.5,52.5,-1.07,0.5354698896408081,26.195823669433594,26.195823669433594,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,12.5,-17.5,-1.1825,0.7246462106704712,25.17075538635254,25.17075538635254,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,14.5,-17.5,-0.8855555555555557,0.7390618191825019,24.3394832611084,24.3394832611084,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,15.5,-18.5,-0.77,0.7724467515945435,24.14947509765625,24.14947509765625,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,15.5,-17.5,-0.49166666666666664,0.7644811272621155,24.044034957885742,24.044034957885742,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,18.5,-18.5,-0.47000000000000003,0.8533844947814941,22.234460830688477,22.234460830688477,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,18.5,-16.5,-0.088,0.8308805227279663,21.374839782714844,21.374839782714844,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,19.5,-19.5,-0.62,0.9122494459152222,22.045568466186523,22.045568466186523,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,19.5,-17.5,-0.25000000000000006,0.8879484534263611,20.786907196044922,20.786907196044922,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,20.5,-18.5,0.25,0.9552996158599854,20.725204467773438,20.725204467773438,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,20.5,-17.5,-0.28,0.9435458183288574,19.425945281982422,19.425945281982422,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,21.5,-18.5,-0.35,1.0137790441513062,20.411151885986328,20.411151885986328,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,21.5,-17.5,-0.31999999999999995,1.0033361911773682,18.97853660583496,18.97853660583496,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,22.5,-17.5,-0.2011111111111111,1.0606310367584229,19.476106643676758,19.476106643676758,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,23.5,-17.5,-0.47000000000000003,1.1065651178359985,20.08257484436035,20.08257484436035,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,25.5,-16.5,-0.21,1.1454719305038452,20.47524642944336,20.47524642944336,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,26.5,-15.5,-0.495,1.1407256126403809,20.388626098632812,20.388626098632812,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,26.5,-14.5,-0.20666666666666667,1.1407256126403809,19.953767776489258,19.953767776489258,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,27.5,-15.5,-0.36,1.1414424180984497,20.623838424682617,20.623838424682617,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,27.5,-14.5,-0.86,1.1291990280151367,20.164793014526367,20.164793014526367,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,27.5,-13.5,-0.28,1.1157982349395752,19.642168045043945,19.642168045043945,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,29.5,-15.5,0.56,1.1382532119750977,20.541582107543945,20.541582107543945,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,29.5,-13.5,-0.4425,1.1157982349395752,20.090068817138672,20.090068817138672,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,29.5,-12.5,-0.2325,1.1041303873062134,19.74147605895996,19.74147605895996,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,29.5,-11.5,-0.40800000000000003,1.09347665309906,19.36009407043457,19.36009407043457,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,30.5,-36.5,0.3,1.2037543058395386,22.644180297851562,22.644180297851562,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,31.5,-118.5,-0.5975,-0.3888838589191437,16.839860916137695,16.839860916137695,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,31.5,-36.5,0.87,1.181870937347412,22.348716735839844,22.348716735839844,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,31.5,-30.5,0.9,1.1323177814483643,21.832674026489258,21.832674026489258,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,32.5,-119.5,0.305000005,-0.43622416257858276,16.175203323364258,16.175203323364258,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,32.5,-34.5,1.11,1.1409411430358887,21.906885147094727,21.906885147094727,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,32.5,-10.5,-0.59,1.066870927810669,19.44171714782715,19.44171714782715,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,32.5,-9.5,-0.5211111111111112,1.066870927810669,19.5218505859375,19.5218505859375,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,33.5,-120.5,-0.05,-0.4821045696735382,15.18622875213623,15.18622875213623,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,33.5,-119.5,-0.12,-0.4672453999519348,15.614584922790527,15.614584922790527,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,33.5,-32.5,1.3,1.094846487045288,21.383981704711914,21.383981704711914,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,33.5,-30.5,1.07,1.0851824283599854,21.18788719177246,21.18788719177246,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,33.5,-12.5,-0.06,1.0772725343704224,19.470441818237305,19.470441818237305,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,34.5,-121.5,-0.42,-0.5158795714378357,14.371371269226074,14.371371269226074,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,34.5,-7.5,0.11,1.0162400007247925,19.817556381225586,19.817556381225586,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,35.5,-32.5,0.5,1.0453903675079346,20.535741806030273,20.535741806030273,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,35.5,-29.5,0.7,1.0098369121551514,20.255922317504883,20.255922317504883,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,35.5,-6.5,0.041999999999999996,0.9087281823158264,18.755407333374023,18.755407333374023,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,35.5,27.5,1.02,1.6409331560134888,19.937992095947266,19.937992095947266,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,36.5,-9.5,0.035,0.9882516860961914,18.491865158081055,18.491865158081055,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,36.5,-7.5,0.0,0.9919549226760864,18.59303855895996,18.59303855895996,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,36.5,11.5,0.97,1.2788442373275757,18.984289169311523,18.984289169311523,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,36.5,12.5,1.07,1.3275810480117798,19.325185775756836,19.325185775756836,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,36.5,24.5,1.45,1.579625129699707,19.34885597229004,19.34885597229004,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,36.5,26.5,0.92,1.615890383720398,19.415348052978516,19.415348052978516,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,37.5,-32.5,0.17,0.9743372201919556,19.642240524291992,19.642240524291992,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,37.5,-30.5,0.47,0.9457144737243652,19.412118911743164,19.412118911743164,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,37.5,-10.5,-0.048666666666666664,0.9440039396286011,17.953039169311523,17.953039169311523,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,37.5,-9.5,0.14500000000000002,0.9481886625289917,17.942121505737305,17.942121505737305,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,37.5,0.5,1.02,1.1664628982543945,19.17131233215332,19.17131233215332,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,38.5,-29.5,0.0,0.8889465928077698,18.7841854095459,18.7841854095459,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,38.5,-25.5,0.69,0.8486621379852295,18.442792892456055,18.442792892456055,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,38.5,14.5,1.46,1.3992500305175781,19.669519424438477,19.669519424438477,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,38.5,18.5,1.35,1.4894917011260986,19.580001831054688,19.580001831054688,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,38.5,143.5,1.17,-0.28197285532951355,15.39694881439209,15.39694881439209,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,39.5,1.5,1.18,1.2379592657089233,19.028867721557617,19.028867721557617,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,39.5,13.5,1.225,1.3504923582077026,19.4006290435791,19.4006290435791,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,39.5,15.5,1.87,1.3983945846557617,19.556392669677734,19.556392669677734,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,40.5,-32.5,0.4533333333333329,0.845683217048645,18.303281784057617,18.303281784057617,1,1,1,1,1,1,1,1,1,1,1,1
